"Date_Time"|"Site_ID"|"Part"|"Qty"|"Service_Tag"|"Part_Class"
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"2S5WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"2XZVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"2ZZVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"300WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"330WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"33KWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"38TVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"3CTVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"3DTVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"3FCWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"3GXWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"410WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"420WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"430WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"460WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"47TVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"4FTVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"4N5WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"4T5WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"529XX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"56TVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"57TVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"5HXWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"5YZVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"5ZZVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"630WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"64KWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"66TVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"69TVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6BTVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6DTVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6FXWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6N5WX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6P8ZX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6WZVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"6XZVX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"70RWX32"|" "
"07/22/2015 05:01:56"|"MXC"|"694KX"|"1"|"710WX32"|" "
